lecture_number,lecture_title,video_number,video_title,original_slide_start,original_slide_end,estimated_minutes,logic_score,time_score,boundary_score,continuity_score,title_score,quiz_alignment_score,overall_score,decision,coherent_topic_review,boundary_review,duration_review,continuity_review,title_review,learning_objectives_review,recap_quiz_review
1,CNN,1,From MLPs to Convolution,1,21,22.9,4,5,5,5,4,5,4.67,approved_for_pptx,Segment has several related concept groups but still supports one coherent learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title is broadly aligned with the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
1,CNN,2,"Filters, Padding, and Kernel Mechanics",22,33,12.2,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
1,CNN,3,Multichannel Convolution and Feature Maps,34,41,8.0,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
1,CNN,4,"Pooling, Inductive Bias, and AlexNet",42,52,10.7,4,2,5,5,5,5,4.33,approved_for_pptx,Segment has several related concept groups but still supports one coherent learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
2,Metrics,1,Confusion Matrices and Core Classification Metrics,1,14,12.8,5,2,5,5,4,5,4.33,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title is broadly aligned with the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
2,Metrics,2,"Threshold Tradeoffs, ROC Curves, and Metric Selection",15,32,22.8,4,5,5,5,5,5,4.83,approved_for_pptx,Segment has several related concept groups but still supports one coherent learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
3,Loss Function,1,Loss Functions and Gradient Descent,1,16,22.5,5,5,5,5,5,4,4.83,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,"Recap and quiz are aligned, though one could be made more specific."
3,Loss Function,2,Linear Classifier Scores,17,23,10.5,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
3,Loss Function,3,Softmax and Cross-Entropy,24,38,23.3,5,5,5,5,5,5,5.00,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
4,Overfit & Underfit,1,"Generalization, Validation, and Regularized Loss",1,18,18.6,5,4,5,5,5,5,4.83,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is close to the 30-minute target and acceptable for online pacing.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
4,Overfit & Underfit,2,Regularization Geometry and Training Controls,19,39,20.6,3,4,5,5,5,4,4.33,approved_for_pptx,Segment covers many concept groups and needs review for topic focus.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is close to the 30-minute target and acceptable for online pacing.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,"Recap and quiz are aligned, though one could be made more specific."
5,Modern CNN,1,Early CNN Milestones,1,14,13.4,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
5,Modern CNN,2,"Depth, VGG, and the Degradation Problem",15,33,21.5,5,4,5,5,5,4,4.67,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is close to the 30-minute target and acceptable for online pacing.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,"Recap and quiz are aligned, though one could be made more specific."
5,Modern CNN,3,ResNet and Inception Design Patterns,34,50,15.9,5,3,5,5,5,5,4.67,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is short for a standard module but may be acceptable for a compact coherent topic.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
5,Modern CNN,4,Efficient CNNs and Modern Design Principles,51,69,19.0,5,4,5,5,5,5,4.83,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is close to the 30-minute target and acceptable for online pacing.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
6,Segmentation,1,Semantic Segmentation and Fully Convolutional Networks,1,12,11.6,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
6,Segmentation,2,U-Net Structure and Upsampling Choices,13,24,12.8,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
6,Segmentation,3,Transposed Convolution Mechanics and Artifacts,25,41,24.1,5,5,5,5,5,5,5.00,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
7,LSTM,1,"RNNs, LSTM Gates, and PyTorch Workflow",1,23,24.5,4,5,5,4,5,5,4.67,approved_for_pptx,Segment has several related concept groups but still supports one coherent learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Segment crosses several boundaries, but the material is continuous and avoids mid-topic cuts.",Video title uses terms that match the segment content.,Learning objectives need review: 5 objectives may be too many for one module.,Recap and quiz both directly target the segment concepts.
7,LSTM,2,Sequence Variants and Seq2Seq Generation,24,38,20.0,5,4,5,5,5,4,4.67,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is close to the 30-minute target and acceptable for online pacing.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,"Recap and quiz are aligned, though one could be made more specific."
7,LSTM,3,Image Captioning with LSTMs,39,47,12.8,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
8,Transformer,1,Seq2Seq Bottlenecks and Attention,1,18,17.7,5,3,5,5,5,5,4.67,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is short for a standard module but may be acceptable for a compact coherent topic.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
8,Transformer,2,Self-Attention and QKV Computation,19,31,13.1,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
8,Transformer,3,Positional Encoding and Transformer Blocks,32,47,15.4,5,3,5,5,5,5,4.67,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is short for a standard module but may be acceptable for a compact coherent topic.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
9,LLM,1,LLM Inputs and Transformer Advantage,1,8,7.0,5,2,5,5,5,4,4.33,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 2 objectives support a focused online module.,"Recap and quiz are aligned, though one could be made more specific."
9,LLM,2,"BERT, GPT, and Pretraining Objectives",9,21,15.1,5,3,5,5,5,5,4.67,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is short for a standard module but may be acceptable for a compact coherent topic.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
9,LLM,3,"Prompting, Scaling, and Alignment",22,32,11.6,5,2,5,5,4,5,4.33,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title is broadly aligned with the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
10,VIT,1,Vision Transformer Core Architecture,1,23,24.8,5,5,5,5,5,4,4.83,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,"Recap and quiz are aligned, though one could be made more specific."
10,VIT,2,Data-Efficient Vision Transformers,24,38,15.4,5,3,5,5,3,5,4.33,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is short for a standard module but may be acceptable for a compact coherent topic.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title is plausible but should be checked against the concept groups.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
10,VIT,3,Swin Transformer Hierarchy and Shifted Windows,39,58,19.7,5,4,5,5,5,5,4.83,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is close to the 30-minute target and acceptable for online pacing.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
10,VIT,4,Vision Transformer Extensions and Multimodal Models,59,70,12.0,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
10,VIT,5,Vision Transformer Summary and Backup,71,75,4.0,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 2 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
11,Generative Model,1,Generative Modeling Foundations,1,8,7.5,5,2,5,5,5,4,4.33,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 2 objectives support a focused online module.,"Recap and quiz are aligned, though one could be made more specific."
11,Generative Model,2,"Autoencoders, VAEs, and Latent Spaces",9,13,4.8,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
11,Generative Model,3,"GANs, Diffusion, and Generative Model Summary",14,19,6.1,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
